"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043412","macromolecule modification","12/23","13/50",0.923076923076923,2.0066889632107,3.85519364447897,0.00010609850920733,0.0142410382045434,0.0112702799467381,"ZNF598/LARP7/ASCC3/EP300/STK3/MED1/NEK6/WNK1/UFL1/PKN3/DDRGK1/PKN1",12
"GO:0019538","protein metabolic process","17/23","23/50",0.739130434782609,1.60680529300567,3.6183574879227,0.000303197831142226,0.0142410382045434,0.0112702799467381,"ZNF598/DHX36/ASCC3/PABPC1/EP300/STK3/MED1/NEK6/WNK1/UFSP2/FMR1/UFL1/ASCC2/PKN3/DDRGK1/PKN1/NCOA3",17
"GO:0036211","protein modification process","11/23","12/50",0.916666666666667,1.99275362318841,3.6042954318921,0.000311847551924307,0.0142410382045434,0.0112702799467381,"ZNF598/ASCC3/EP300/STK3/MED1/NEK6/WNK1/UFL1/PKN3/DDRGK1/PKN1",11
"GO:0051179","localization","10/23","11/50",0.909090909090909,1.97628458498024,3.34981287226873,0.000863149474076203,0.0295628694871099,0.0233958936394339,"LARP7/NCOA1/DHX36/EP300/STK3/MED1/WNK1/FMR1/UFL1/DDRGK1",10
"GO:0007275","multicellular organism development","11/23","13/50",0.846153846153846,1.83946488294314,3.21479602911702,0.00144346728686768,0.0395510036601744,0.0313004485362887,"NCOA1/DHX36/EP300/STK3/MED1/WNK1/FMR1/UFL1/DDRGK1/PKN1/NCOA3",11
